equation, soln_entropy, soln_score
40+16=56,8.645520287082823,3
50+16=66,7.729182201183368,3
60+16=76,7.68875102753415,3
70+16=86,8.573686719801717,3
80+16=96,8.533046978704945,2
10+17=27,8.186916418106398,4
20+17=37,8.606110474282753,3
30+17=47,8.583757886636233,3
40+17=57,8.595292574583658,3
50+17=67,8.541214733471207,3
60+17=77,7.619508134457882,4
70+17=87,7.540774258475302,5
80+17=97,8.407124732460778,5
10+18=28,8.232395082753921,3
20+18=38,8.659583379757189,3
30+18=48,8.661384920355076,3
40+18=58,8.65174692103336,3
50+18=68,8.608808932713075,3
60+18=78,8.567367090648457,3
70+18=88,7.599497760490613,3
80+18=98,7.510926864838494,3
10+19=29,8.124010956563286,5
20+19=39,8.581235980930357,5
30+19=49,8.592595653657446,5
40+19=59,8.54956713235863,3
50+19=69,8.535419410871159,3
60+19=79,8.499252130851703,3
70+19=89,8.382488613440634,3
80+19=99,7.445732985698981,3
10+1-2=9,8.36908051528183,3
10+1-3=8,8.458885199804143,3
10+1-4=7,8.418373547183352,3
10+1-5=6,8.399887541891678,3
10+1-6=5,8.39220690982338,3
10+1-7=4,8.426495397544851,3
10+1-8=3,8.42878172910679,3
10+1-9=2,8.364040330485796,3
10+20=30,7.269274618837044,4
20+20=40,6.724004377070085,3
30+20=50,7.252901748291445,3
40+20=60,7.2723189749208546,3
50+20=70,7.183970363508748,3
60+20=80,7.19577322697678,3
70+20=90,7.118073941990346,3
10+21=31,8.10043866804113,3
20+21=41,8.407114346672294,3
30+21=51,8.931154967907881,3
40+21=61,8.9675475670802,3
50+21=71,8.90472122189202,3
60+21=81,8.921062787674066,3
70+21=91,8.808952194997541,3
10+22=32,7.979600879824097,3
20+22=42,7.009078448950751,3
30+22=52,7.977438308934422,3
40+22=62,7.988015421664361,2
50+22=72,7.912407115675737,3
60+22=82,7.918134536745563,3
70+22=92,7.850461813042221,3
10+23=33,7.859535794078803,3
20+23=43,8.235156734058009,3
30+23=53,7.838362793154757,3
40+23=63,8.763217990613382,3
50+23=73,8.688854411137775,3
60+23=83,8.703064780621027,3
70+23=93,8.62647841128861,3
10+24=34,8.808762369002794,3
20+24=44,7.361118603894472,3
30+24=54,8.78733664429726,3
40+24=64,7.8858196673056735,3
50+24=74,8.734566046414319,3
60+24=84,8.70908431378959,3
70+24=94,8.666834665310954,3
10+25=35,8.723730544482143,3
20+25=45,8.173010316028948,3
30+25=55,7.807718979351343,4
40+25=65,8.681621095930206,3
50+25=75,7.715159447772889,4
60+25=85,8.617359037131823,3
70+25=95,8.552150554281736,3
10+26=36,8.748169345393674,3
20+26=46,8.189251587824385,2
30+26=56,8.709631763201328,3
40+26=66,7.816374884679957,3
50+26=76,8.648213605847138,3
60+26=86,7.730206645503717,3
70+26=96,8.589212652519164,3
10+27=37,8.658966225251277,3
20+27=47,8.126229107993021,3
30+27=57,8.62739021403018,3
40+27=67,8.640885460930532,4
50+27=77,7.651074255482035,3
60+27=87,8.579728153278595,3
70+27=97,7.5558541060832445,3
10+28=38,8.711639515178321,3
20+28=48,8.164515601830088,3
30+28=58,8.658295592404079,3
40+28=68,8.652945820625385,3
50+28=78,8.585542945719528,3
60+28=88,7.691301751440335,4
70+28=98,8.528165694401757,3
10+29=39,8.63246647335026,5
20+29=49,8.116654861921345,3
30+29=59,8.634748306147221,3
40+29=69,8.635724059327519,3
50+29=79,8.540521940670292,3
60+29=89,8.54181503016431,3
70+29=99,7.554007263330214,3
10+2-3=9,8.873993278250635,3
10+2-4=8,8.96458736948407,3
10+2-5=7,8.854967000785791,3
10+2-6=6,8.29282860429374,3
10+2-7=5,8.865058525288935,3
10+2-8=4,8.959191819956686,3
10+2-9=3,8.861376329417624,3
10+30=40,7.263217745235369,4
20+30=50,7.24161360295561,4
30+30=60,6.553026118964167,3
40+30=70,7.179441764341123,4
50+30=80,7.129947663132342,3
60+30=90,7.108622068243399,3
10+31=41,8.126262530499426,4
20+31=51,8.926102956106385,3
30+31=61,8.313102789353916,3
40+31=71,8.884131000820032,3
50+31=81,8.865436035507578,3
60+31=91,8.839747918359029,3
10+32=42,8.842010246139626,2
20+32=52,7.957389898054709,3
30+32=62,8.199615670966825,2
40+32=72,8.808009309564605,2
50+32=82,8.742724604346348,2
60+32=92,8.725074043254228,3
10+33=43,7.854347600479325,3
20+33=53,7.829003016991345,3
30+33=63,6.772538309912202,3
40+33=73,7.75274932637711,3
50+33=83,7.724220042214048,3
60+33=93,7.68755388749555,3
10+34=44,7.903115363898422,4
20+34=54,8.775828626834121,2
30+34=64,8.113445494131062,3
40+34=74,7.796941778887152,3
50+34=84,8.668550990418813,2
60+34=94,8.65057749969039,3
10+35=45,8.705841513644721,3
20+35=55,7.796194003976122,3
30+35=65,8.0093883337985,3
40+35=75,8.617346855424133,3
50+35=85,7.662259540930001,3
60+35=95,8.539280295045858,3
10+36=46,8.740664337562993,2
20+36=56,8.699136471904074,2
30+36=66,7.112406304231289,3
40+36=76,8.633228562218822,2
50+36=86,8.609595482491937,2
60+36=96,7.637830411082279,3
10+37=47,8.622316628080767,5
20+37=57,8.616498052149304,3
30+37=67,7.918623319554117,3
40+37=77,7.627273570709595,3
50+37=87,8.499800547476058,4
60+37=97,8.47375674281034,3
10+38=48,8.704058898841385,3
20+38=58,8.644936741287413,3
30+38=68,8.010336066047389,3
40+38=78,8.589115120260596,3
50+38=88,7.638384255231457,3
60+38=98,8.537312979241733,3
10+39=49,8.631105909243102,3
20+39=59,8.61832966852397,5
30+39=69,7.922947338929472,3
40+39=79,8.552310716390137,5
50+39=89,8.48548042695307,3
60+39=99,7.546362171635503,4
10+3-4=9,8.87459125156469,2
10+3-5=8,8.880363849597721,2
10+3-6=7,8.867598832721885,2
10+3-7=6,8.891216639199998,3
10+3-8=5,8.867564205467698,3
10+3-9=4,8.882784922906279,3
10+40=50,7.236702916277635,4
20+40=60,7.253301252225222,4
30+40=70,7.165646387957147,4
40+40=80,6.533365947685265,3
50+40=90,7.071309001336788,3
10+41=51,8.115358291801527,3
20+41=61,8.955657321605639,3
30+41=71,8.875710243193685,3
40+41=81,8.299920456865816,3
50+41=91,8.794602602338056,3
10+42=52,8.856130708116435,3
20+42=62,7.966779588724341,2
30+42=72,8.798396739968123,3
40+42=82,8.181853557329093,2
50+42=92,8.721272672807162,3
10+43=53,8.752700991946792,3
20+43=63,8.743186219471967,3
30+43=73,7.731337090492931,3
40+43=83,8.056327937534006,3
50+43=93,8.588987351577423,3
10+44=54,7.87749183748425,3
20+44=64,7.875425448621385,3
30+44=74,7.790910466778024,3
40+44=84,6.78346222173595,4
50+44=94,7.693984940601299,3
10+45=55,7.793478268195979,3
20+45=65,8.665528832153516,3
30+45=75,8.601560593471142,3
40+45=85,7.984881921674134,3
50+45=95,7.594365279660844,3
10+46=56,8.686593877766354,3
20+46=66,7.799047136736799,3
30+46=76,8.623670269658055,3
40+46=86,8.020268995330138,3
50+46=96,8.533912024648886,2
10+47=57,8.628892395204145,5
20+47=67,8.62701686581548,3
30+47=77,7.61666086102204,3
40+47=87,7.930528204247163,5
50+47=97,8.472253952228789,4
10+48=58,8.691563228597149,3
20+48=68,8.640769400951614,3
30+48=78,8.575194583050717,3
40+48=88,7.039278096897383,3
50+48=98,8.510664543112055,3
10+49=59,8.577173255861538,3
20+49=69,8.620459708414632,3
30+49=79,8.538163866587745,3
40+49=89,7.890499609933079,3
50+49=99,7.516169546691445,3
10+4-5=9,8.794957859260013,3
10+4-6=8,8.930799032915084,4
10+4-7=7,8.163938877635657,3
10+4-8=6,8.923852640886672,3
10+4-9=5,8.799165701926883,4
10+50=60,7.1865272142790095,3
20+50=70,7.147765024099424,3
30+50=80,7.1037558446715945,3
40+50=90,7.054150298868425,3
10+51=61,8.065347689104442,3
20+51=71,8.874376434511634,4
30+51=81,8.843995861776554,3
40+51=91,8.784440055967648,3
10+52=62,8.812517059216473,3
20+52=72,7.875174817076598,4
30+52=82,8.726374832854356,3
40+52=92,8.707831206978542,3
10+53=63,8.713819195282865,3
20+53=73,8.655134870422557,3
30+53=83,7.693386733635903,3
40+53=93,8.575941548191699,2
10+54=64,8.718423036907822,3
20+54=74,8.697535962966919,3
30+54=84,8.63846719630847,3
40+54=94,7.667189849985419,3
10+55=65,7.7299994298585775,3
20+55=75,7.69474450293503,4
30+55=85,7.651249173710398,4
40+55=95,7.591645231861033,3
10+56=66,7.754068018685227,3
20+56=76,8.614480583640688,3
30+56=86,8.584913036571225,3
40+56=96,8.51752216648198,2
10+57=67,8.569780268036608,3
20+57=77,7.622594206170895,3
30+57=87,8.478514433664099,3
40+57=97,8.457554801797363,4
10+58=68,8.635119021105472,3
20+58=78,8.554056453751233,3
30+58=88,7.6164899048865875,3
40+58=98,8.494207257404895,2
10+59=69,8.557944941629168,3
20+59=79,8.510909631222114,3
30+59=89,8.46272958434715,3
40+59=99,7.501891427419761,3
10+5-6=9,8.781749491996022,3
10+5-7=8,8.80887774008376,3
10+5-8=7,8.789575306612017,3
10+5-9=6,8.795255560104914,3
10+60=70,7.158050043238054,3
20+60=80,7.142533321755616,3
30+60=90,7.0654807744127925,4
10+61=71,8.037235285929308,3
20+61=81,8.866424623983434,4
30+61=91,8.795746206486147,3
10+62=72,8.78324132301182,3
20+62=82,7.85746476177788,3
30+62=92,8.686107575804334,3
10+63=73,8.652288417826888,3
20+63=83,8.651039309298827,3
30+63=93,7.639584452653996,3
10+64=74,8.695258582690782,3
20+64=84,8.65630344292316,3
30+64=94,8.60414150853806,3
10+65=75,8.578423459557035,3
20+65=85,8.560984219350972,3
30+65=95,8.491689472968105,3
10+66=76,7.722700959489956,3
20+66=86,7.7026752418630435,3
30+66=96,7.621501325957885,3
10+67=77,7.627346188776102,4
20+67=87,8.529147394797025,3
30+67=97,8.435375818676146,5
10+68=78,8.580047212274563,3
20+68=88,7.643316942560063,4
30+68=98,8.498056020433845,3
10+69=79,8.503700708890891,3
20+69=89,8.486518813599249,3
30+69=99,7.506086087277795,4
10+6-7=9,8.777555792379468,3
10+6-8=8,8.178071334463754,3
10+6-9=7,8.773555307100073,3
10+70=80,7.0703013246242,4
20+70=90,7.038533574029277,3
10+71=81,7.95539678209417,3
20+71=91,8.725013460750619,4
10+72=82,8.700267877839208,3
20+72=92,7.76231899400375,3
10+73=83,8.582981918029178,3
20+73=93,8.541402072923471,2
10+74=84,8.622286528232454,3
20+74=94,8.583777993533202,3
10+75=85,8.518951388132336,3
20+75=95,8.473929346401865,3
10+76=86,8.55417720193265,3
20+76=96,8.505360091009209,3
10+77=87,7.555692373521268,5
20+77=97,7.514665462166198,3
10+78=88,7.581787304763578,3
20+78=98,8.451248075929747,3
10+79=89,8.36065955830965,3
20+79=99,7.473840406868996,3
10+7-8=9,8.68587034232654,3
10+7-9=8,8.702478735870137,3
10+80=90,6.976929564081315,4
10+81=91,7.842830589160137,3
10+82=92,8.598907642790936,3
10+83=93,8.515076960064698,3
10+84=94,8.54455817580013,3
10+85=95,8.439935435578278,3
10+86=96,8.482266145059722,3
10+87=97,8.3592957175329,5
10+88=98,7.504888764637276,3
10+89=99,7.396691888659166,3
10+8-9=9,7.938228929019174,3
20-10=10,6.953455348647416,3
30-10=20,7.399347056247716,4
40-10=30,7.4124558875296,4
50-10=40,7.360722459300303,3
60-10=50,7.347794254861556,3
70-10=60,7.33871773087423,3
80-10=70,7.29655653533109,3
90-10=80,7.234896834543028,3
30-11=19,8.26111111176229,3
40-11=29,9.113659374138852,3
50-11=39,9.085124862641113,3
60-11=49,9.09872644323512,3
70-11=59,9.028474945052746,2
80-11=69,9.022045381810656,3
90-11=79,8.251021692096431,3
30-12=18,9.10420050137892,3
40-12=28,9.043625671705994,3
50-12=38,9.490114772857805,3
60-12=48,9.518506673008648,3
70-12=58,9.448312397146164,3
80-12=68,8.801685586064767,3
90-12=78,9.374082861469008,3
30-13=17,8.453411071511491,3
40-13=27,9.495408366515502,3
50-13=37,8.870757755141813,3
60-13=47,9.468655677784565,3
70-13=57,8.753977057927056,3
80-13=67,9.424790382276722,3
90-13=77,8.707651478312227,2
30-14=16,9.134900770777287,3
40-14=26,8.967666563842155,3
50-14=36,9.491448308921106,3
60-14=46,8.267541878636605,3
70-14=56,9.428048186513756,3
80-14=66,8.850396091152147,3
90-14=76,9.4086482808661,3
30-15=15,8.410604969304108,3
40-15=25,8.850476605008412,3
50-15=35,7.900128677589676,3
60-15=45,8.774788395720847,3
70-15=55,7.86263517991687,3
80-15=65,8.75195868422549,3
90-15=75,8.68637731062473,3
30-16=14,9.12619269311734,3
40-16=24,8.947737850892878,3
50-16=34,9.484994083352182,2
60-16=44,8.26409649152943,3
70-16=54,9.421822980860032,3
80-16=64,8.851155804562035,2
90-16=74,9.403408239970878,3
30-17=13,8.425526186293192,3
40-17=23,9.481429236652948,3
50-17=33,8.849728030918856,3
60-17=43,9.450622002019514,3
70-17=53,8.754168359567206,3
80-17=63,9.40808935692669,3
90-17=73,8.698861418129074,3
30-18=12,9.076985168867676,3
40-18=22,9.006738532656101,2
50-18=32,9.465066040496048,3
60-18=42,9.490738214377016,3
70-18=52,9.420731487162309,3
80-18=62,8.792600892325948,2
90-18=72,9.350583690596768,3
30-19=11,8.17951807296832,4
40-19=21,9.04330049649364,4
50-19=31,9.020091674956952,4
60-19=41,9.03165764688084,3
70-19=51,8.960062923200157,3
80-19=61,8.957245153040612,3
90-19=71,8.200574854763191,3
10-1-1=8,7.101163556123852,3
10-1-2=7,7.911187395386429,3
10-1-3=6,7.956236544299786,3
10-1-4=5,7.912499122528751,3
10-1-5=4,7.916542370495888,3
10-1-6=3,7.920457676309508,3
10-1-7=2,7.894442700709802,2
10-1-8=1,6.993467594847679,3
10-1-9=0,6.793123118725353,4
10-1*1=9,7.509234158232459,3
10-1*2=8,8.430622732350534,3
10-1*3=7,8.395130653459443,3
10-1*4=6,8.455557366105218,3
10-1*5=5,7.687518135944003,3
10-1*6=4,8.448688074843261,3
10-1*7=3,8.38383443769638,3
10-1*8=2,8.408038607890909,2
10-1*9=1,7.436933695903468,4
10-1/1=9,7.314136401126396,4
30-20=10,7.444359419202911,4
40-20=20,6.891270246725563,4
50-20=30,7.382082943117789,3
60-20=40,7.423196957885118,3
70-20=50,7.323712738522936,3
80-20=60,7.353577028001588,3
90-20=70,7.289994193543127,3
40-21=19,9.168435878052575,3
50-21=29,8.965725756266343,2
60-21=39,9.508922765879992,3
70-21=49,9.485666776634798,3
80-21=59,9.430822630818172,2
90-21=69,8.753310195425774,3
40-22=18,9.084337197374486,3
50-22=28,8.110978106249252,3
60-22=38,9.02187293750025,3
70-22=48,9.000141473165717,3
80-22=58,8.239203686202826,3
90-22=68,8.923824778591488,3
40-23=17,9.54214211012378,3
50-23=27,8.962382245185296,3
60-23=37,8.885826813398666,3
70-23=47,8.792964708361536,3
80-23=57,9.40801829406075,3
90-23=67,9.409116848612875,3
40-24=16,9.014030195737291,3
50-24=26,8.998556162732147,4
60-24=36,8.890210942068824,3
70-24=46,8.924097433351289,3
80-24=56,9.450827624206104,3
90-24=66,8.822131906144184,3
40-25=15,8.893635119297217,3
50-25=25,7.361823521611041,3
60-25=35,8.820890607142724,3
70-25=45,8.792836369717632,3
80-25=55,7.868913063694314,3
90-25=65,8.737339642722961,3
40-26=14,8.995438444393635,3
50-26=24,8.990359427992365,3
60-26=34,8.902041983870289,2
70-26=44,8.908083663039806,3
80-26=54,9.441733374199384,2
90-26=64,8.827010586731296,3
40-27=13,9.527774446470357,3
50-27=23,8.948511026248122,3
60-27=33,8.85984261463598,3
70-27=43,8.790102440715064,3
80-27=53,9.392097943340088,4
90-27=63,9.388226416134067,3
40-28=12,9.03748045440573,2
50-28=22,8.063022471986407,2
60-28=32,8.977672443611743,2
70-28=42,8.957063374119455,2
80-28=52,8.21030867053956,3
90-28=62,8.879364560511625,2
40-29=11,9.104687184621746,4
50-29=21,8.905779499247455,3
60-29=31,9.45249828730043,3
70-29=41,9.426865889719569,3
80-29=51,9.376917712224314,3
90-29=61,8.709743630558085,3
10-2+1=9,8.28352310126122,4
10-2-1=7,7.945934296758159,3
10-2-2=6,7.86833565900229,3
10-2-3=5,8.369832282436603,3
10-2-4=4,7.804880761418829,3
10-2-5=3,8.350806476263994,3
10-2-6=2,7.814412708648879,3
10-2-7=1,7.87074709202177,3
10-2-8=0,7.3322173286184835,3
20-2-9=9,7.055730065769507,3
10-2*1=8,8.454530144347405,3
10-2*2=6,8.357662496506432,3
10-2*3=4,8.891717658527917,3
10-2*4=2,8.335798120231232,3
10-2*5=0,7.8028280476006415,3
20-2*6=8,8.390037126890258,2
20-2*7=6,8.38843103764845,3
20-2*8=4,8.415209750490364,3
20-2*9=2,7.431204720443282,2
10-2/1=8,8.27416493355624,4
10-2/2=9,8.09421296191062,3
40-30=10,7.443168607939405,4
50-30=20,7.369061329887749,3
60-30=30,6.714600826855199,3
70-30=40,7.325092940475111,4
80-30=50,7.285797554036715,3
90-30=60,7.272064383482885,3
50-31=19,9.126652918907055,2
60-31=29,9.501266223911763,2
70-31=39,8.836113514805321,2
80-31=49,9.443936072068183,3
90-31=59,8.719911447830153,3
50-32=18,9.523477562612552,2
60-32=28,9.016086310051566,3
70-32=38,8.861920227438645,3
80-32=48,8.815561490000873,3
90-32=58,9.401103159135776,3
50-33=17,8.895229366746028,3
60-33=27,8.870396990307912,2
70-33=37,7.173342099577832,2
80-33=47,8.80456795523274,3
90-33=57,8.766095040701636,3
50-34=16,9.524149775001304,2
60-34=26,8.877929674381386,3
70-34=36,8.829561321371324,2
80-34=46,8.884314136397071,3
90-34=56,9.375572473928528,3
50-35=15,7.933755796098962,4
60-35=25,8.81093352382123,3
70-35=35,8.115577519658366,3
80-35=45,8.745580853983938,4
90-35=55,7.818097198948656,3
50-36=14,9.517985312592646,2
60-36=24,8.887402843404908,2
70-36=34,8.82509913032866,2
80-36=44,8.864207600357412,2
90-36=54,9.36576476901399,3
50-37=13,8.869735228071205,4
60-37=23,8.840260360554407,3
70-37=33,7.157068333945853,3
80-37=43,8.777622938060137,4
90-37=53,8.735979249757019,3
50-38=12,9.49765145713501,2
60-38=22,8.975663574093197,2
70-38=32,8.835848911432947,3
80-38=42,8.805169766712044,2
90-38=52,9.373566554570267,3
50-39=11,9.062127508775754,3
60-39=21,9.441059431480154,3
70-39=31,8.779054057285059,3
80-39=41,9.38858782326732,4
90-39=51,8.677980029040144,3
10-3+1=8,8.359364956813588,3
10-3+2=9,8.727859682850553,3
10-3-1=6,7.970169564284418,3
10-3-2=5,8.352255627686793,3
10-3-3=4,7.752764127392276,3
10-3-4=3,7.707748493848594,3
10-3-5=2,8.33886114144043,2
10-3-6=1,7.878857807712772,3
10-3-7=0,7.282161963278781,4
20-3-8=9,8.320772429202089,2
20-3-9=8,8.333575342230445,3
10-3*1=7,8.40675030378393,3
10-3*2=4,8.871838264996638,2
10-3*3=1,7.756041876225228,3
20-3*4=8,8.953666688004787,2
20-3*5=5,8.217639035711626,2
20-3*6=2,8.376323334763516,2
30-3*7=9,8.187289551991528,2
30-3*8=6,8.272357455366453,2
30-3*9=3,7.25530299839618,3
10-3/1=7,8.210929142777905,4
10-3/3=9,7.995000305178848,3
50-40=10,7.382661267574078,3
60-40=20,7.4065801448093245,3
70-40=30,7.320304483189921,3
80-40=40,6.694760859305863,3
90-40=50,7.229967383827033,3
